number,category,text,emotion,pose,image_prompt,status,filename,notes
12,感謝,感謝しかない,にっこり（目を閉じる）,右手＝体の横に添える / 左手＝体の横に添える / 体＝正面から前傾（深いお辞儀） / 足＝描かない,深くお辞儀する,todo,stamp_012.png,
13,謝罪,ごめん！,困り顔,右手＝顔の前で合わせる / 左手＝顔の前で合わせる / 体＝正面からやや前傾 / 足＝描かない,手を合わせて頭を下げる,todo,stamp_013.png,
14,謝罪,遅くなって／ごめん！,困り顔,右手＝膝に手をつく / 左手＝顔の前で軽く上げる / 体＝前傾（肩で息） / 足＝走ってきた姿勢,走ってきて息を切らして謝る 2行表示,todo,stamp_014.png,セリフは2行に分けて配置
15,謝罪,アタシのミス…,泣き,右手＝膝の上 / 左手＝膝の上 / 体＝しゃがんで小さくなる / 足＝しゃがみ姿勢,しゃがみ込んで落ち込む,todo,stamp_015.png,
16,確認,どう？,期待の目（にっこり）,右手＝顎に添える / 左手＝腰に当てる / 体＝正面からやや斜め（首をかたむける） / 足＝描かない,首をかたむけて反応を待つ,todo,stamp_016.png,
17,確認,これで／合ってる？,真剣,右手＝ノートパソコンを支える / 左手＝画面を指さす / 体＝正面からやや斜め / 足＝描かない,無地のノートパソコンを見せる 画面には何も表示しない,todo,stamp_017.png,セリフは2行 / 小物の画面は無地
18,確認,いつまで？,真剣,右手＝人差し指を1本立てる / 左手＝腰に当てる / 体＝正面 / 足＝描かない,指を1本立てて期限を尋ねる,todo,stamp_018.png,
19,確認,見た？,にっこり,右手＝スマートフォンを顔の高さに掲げる / 左手＝腰に当てる / 体＝正面からやや斜め / 足＝描かない,無地のスマートフォンを掲げる 画面は単色,todo,stamp_019.png,小物の画面は無地
20,仕事,今から会議,真剣,右手＝書類の束を抱える / 左手＝書類を支える / 体＝やや斜めで歩く姿勢 / 足＝歩いている,書類を抱えて歩く 書類に文字は描かない,todo,stamp_020.png,
21,仕事,資料できた！,得意げ,右手＝書類を頭上に掲げる / 左手＝腰に当てる / 体＝正面 / 足＝描かない,書類を掲げて達成 書類に文字は描かない,todo,stamp_021.png,
22,仕事,送っといた,にっこり,右手＝ノートパソコンの蓋を閉じる / 左手＝パソコンを支える / 体＝正面からやや斜め / 足＝描かない,ノートパソコンを閉じる,todo,stamp_022.png,
23,仕事,対応中！,真剣,右手＝キーボードに置く / 左手＝キーボードに置く / 体＝正面からやや斜め / 足＝描かない,パソコンを打っている 画面には何も表示しない,todo,stamp_023.png,小物の画面は無地
24,仕事,明日でもいい？,眠い,右手＝目をこする / 左手＝小さく上げる / 体＝正面 / 足＝描かない,目をこすりながら手を上げる,todo,stamp_024.png,
25,感情,うれしい！,満面の笑み,右手＝頭より高く突き上げる / 左手＝頭より高く突き上げる / 体＝正面（軽く飛び跳ねる） / 足＝地面から少し浮く,両手を突き上げて飛び跳ねる 足元に短い動線,todo,stamp_025.png,
26,感情,びっくり,驚き,右手＝頬に当てる / 左手＝頬に当てる / 体＝正面 / 足＝描かない,両手を頬に当てて驚く 頭上に驚きの線3本,todo,stamp_026.png,
27,感情,つらい…,泣き,右手＝机の上に伸ばす / 左手＝机の上に伸ばす / 体＝机に突っ伏す / 足＝描かない,机に突っ伏す 机は無地,todo,stamp_027.png,
28,感情,ねむい,眠い,右手＝口元を覆う / 左手＝自然に下ろす / 体＝正面 / 足＝描かない,大きくあくびをする,todo,stamp_028.png,
29,感情,やったー！,満面の笑み,右手＝握りこぶしを突き上げる / 左手＝握りこぶしを突き上げる / 体＝正面からやや後傾 / 足＝描かない,両手を突き上げて喜ぶ,todo,stamp_029.png,
30,応援,がんばれ！,応援,右手＝握りこぶしを前方に押し出す / 左手＝握りこぶしを胸の前に構える / 体＝正面からやや前傾 / 足＝描かない,こぶしを前に出して応援,todo,stamp_030.png,
31,応援,いけるいける,得意げ,右手＝相手の背を押すしぐさで前に出す / 左手＝腰に当てる / 体＝やや斜め / 足＝描かない,背中を押すしぐさ,todo,stamp_031.png,
32,応援,ナイス！,にっこり,右手＝指を鳴らすしぐさ / 左手＝腰に当てる / 体＝正面 / 足＝描かない,指を鳴らして褒める,todo,stamp_032.png,
33,応援,無理しないで,心配そう（困り顔寄り）,右手＝相手の肩に置くしぐさで前に出す / 左手＝胸の前に添える / 体＝やや前傾 / 足＝描かない,肩に手を置くしぐさ,todo,stamp_033.png,
34,締め,お先に失礼〜,にっこり,右手＝顔の横で手を振る / 左手＝かばんの持ち手を握る / 体＝やや斜め（歩き出す姿勢） / 足＝歩いている,かばんを持って手を振る かばんは無地,todo,stamp_034.png,
35,締め,また明日,にっこり,右手＝胸の高さで小さく手を振る / 左手＝自然に下ろす / 体＝正面 / 足＝描かない,小さく手を振る,todo,stamp_035.png,
36,締め,おやすみ,眠い（目を閉じる）,右手＝頬に添える / 左手＝自然に下ろす / 体＝正面（頭をかたむける） / 足＝描かない,頬に手を添えて眠る仕草,todo,stamp_036.png,
37,締め,今日は／ここまで！,得意げ,右手＝ノートパソコンの蓋を閉じる / 左手＝腰に当てる / 体＝正面 / 足＝描かない,ノートパソコンを閉じて締める,todo,stamp_037.png,セリフは2行に分けて配置
38,ネタ,それAIで／いけるっしょ,得意げ,右手＝人差し指を立てて顔の横に出す / 左手＝腰に当てる / 体＝正面（片目を閉じる） / 足＝描かない,指を立ててウインク キャラクターの看板セリフ,todo,stamp_038.png,セリフは2行に分けて配置
39,ネタ,はい、時短！,満面の笑み,右手＝ストップウォッチを止めるしぐさ / 左手＝腰に当てる / 体＝正面 / 足＝描かない,ストップウォッチを止める 小物は無地で文字を描かない,todo,stamp_039.png,
40,ネタ,自動化しよ？,にっこり,右手＝足元の小型ロボットを指さす / 左手＝腰に当てる / 体＝やや斜め / 足＝描かない,小型AIロボットを指さす ロボットは白と水色の丸い形 文字は描かない,todo,stamp_040.png,追加キャラクターあり
